Program Time [s],Device ID,Accelerometer X Axis,Accelerometer Y axis,Accelerometer Z Axis,Gyroscope X Axis,Gyroscope Y Axis,Gyroscope Z Axis,Magnetometer X Axis,Magnetometer Y Axis,Magnetometer Z Axis,Not Used currently,Not Used currently,Not Used currently
2830.82,0,-4086,-67,831,-141,872,77,-31716,31140,31331,0,0,0
2830.85,0,-4038,-88,1100,-175,640,-441,-31717,31139,31326,0,0,0
2830.85,0,-4110,25,1178,-89,89,-818,-31716,31142,31322,0,0,0
2830.88,0,-4006,80,1211,-491,-366,-1116,-31714,31147,31321,0,0,0
2830.88,0,-4184,330,960,-575,-979,-1001,-31711,31154,31326,0,0,0
2830.91,0,-3663,477,481,-630,-861,-930,-31705,31158,31335,0,0,0
2830.91,0,-3539,584,432,-427,98,-730,-31699,31164,31342,0,0,0
2830.94,0,-3706,621,847,-363,837,-494,-31697,31168,31343,0,0,0
2830.94,0,-3899,511,1189,-144,499,-292,-31696,31169,31338,0,0,0
2830.97,0,-4059,352,1003,-210,-228,-51,-31698,31169,31336,0,0,0
2830.97,0,-3609,235,602,-72,-211,-80,-31697,31171,31336,0,0,0
2831,0,-3679,310,570,133,629,-25,-31695,31168,31337,0,0,0
2831,0,-3734,397,735,-181,1222,-50,-31698,31169,31334,0,0,0
2831.03,0,-3862,453,1047,-361,1233,-32,-31701,31173,31324,0,0,0
2831.03,0,-4028,372,1216,-167,811,106,-31706,31170,31316,0,0,0
2831.06,0,-4106,326,1347,306,324,101,-31710,31169,31312,0,0,0
2831.06,0,-4206,325,1121,49,-123,297,-31712,31169,31306,0,0,0
2831.09,0,-4050,203,968,-92,-247,207,-31710,31169,31306,0,0,0
2831.09,0,-3972,246,809,-268,-162,27,-31711,31168,31309,0,0,0
2831.12,0,-4000,311,701,-510,-11,-212,-31711,31164,31312,0,0,0
2831.12,0,-3929,329,648,-876,330,-443,-31710,31164,31312,0,0,0
2831.15,0,-4115,351,867,-597,628,-400,-31712,31163,31315,0,0,0
2831.15,0,-4187,235,1030,78,490,-190,-31713,31166,31312,0,0,0
2831.18,0,-4092,287,1056,289,237,-125,-31712,31166,31308,0,0,0
2831.18,0,-4035,308,993,96,-187,-120,-31712,31168,31306,0,0,0
2831.21,0,-3958,370,883,17,-220,-92,-31713,31170,31308,0,0,0
2831.21,0,-3962,364,858,43,-131,46,-31712,31170,31309,0,0,0
2831.24,0,-3766,314,740,-304,-270,-21,-31713,31169,31310,0,0,0
2831.24,0,-3814,263,702,-294,-94,4,-31709,31170,31312,0,0,0
2831.27,0,-3819,213,778,-181,171,56,-31711,31167,31312,0,0,0
2831.27,0,-3888,207,904,-41,226,11,-31710,31169,31315,0,0,0
2831.3,0,-3951,225,1014,60,177,22,-31712,31167,31309,0,0,0
2831.31,0,-4089,248,1160,132,45,10,-31711,31168,31309,0,0,0
2831.33,0,-4034,243,1101,-60,-330,-148,-31712,31167,31310,0,0,0
2831.34,0,-4097,220,982,-330,-419,-230,-31711,31168,31311,0,0,0
2831.36,0,-4037,250,689,-874,-535,-519,-31709,31168,31314,0,0,0
2831.37,0,-3858,186,582,-945,99,-678,-31707,31169,31321,0,0,0
2831.39,0,-3834,291,642,-1011,690,-754,-31705,31169,31326,0,0,0
2831.4,0,-4056,326,1059,-665,957,-573,-31703,31171,31325,0,0,0
2831.42,0,-4200,433,1391,-98,615,-290,-31705,31174,31317,0,0,0
2831.43,0,-4163,515,952,193,-162,-4,-31705,31176,31311,0,0,0
2831.45,0,-3815,394,674,356,343,387,-31705,31179,31312,0,0,0
2831.46,0,-3751,309,704,136,761,469,-31708,31174,31309,0,0,0
2831.48,0,-3981,221,909,-75,942,599,-31711,31175,31305,0,0,0
2831.49,0,-4004,99,1130,-207,700,598,-31715,31168,31297,0,0,0
2831.51,0,-3982,37,1048,-194,34,486,-31718,31163,31292,0,0,0
2831.52,0,-3915,36,866,-337,50,236,-31720,31162,31296,0,0,0
2831.54,0,-3934,23,617,-477,62,-71,-31721,31158,31296,0,0,0
2831.55,0,-3680,21,400,-459,477,-336,-31723,31157,31297,0,0,0
2831.57,0,-3708,178,440,-383,974,-476,-31724,31158,31296,0,0,0
2831.58,0,-3986,276,687,-418,1358,-479,-31724,31160,31289,0,0,0
2831.6,0,-3998,373,870,-632,1286,-424,-31728,31163,31282,0,0,0
2831.61,0,-4166,366,1049,-343,981,-97,-31729,31163,31277,0,0,0
2831.63,0,-4129,338,1073,-197,510,192,-31732,31162,31269,0,0,0
2831.64,0,-4017,406,920,-465,211,204,-31734,31161,31264,0,0,0
2831.66,0,-4024,351,882,-278,44,382,-31735,31160,31267,0,0,0
2831.67,0,-3960,168,743,-427,-129,580,-31735,31155,31268,0,0,0
2831.69,0,-3897,113,687,-401,-182,650,-31738,31150,31269,0,0,0
2831.7,0,-3909,80,735,-164,-112,602,-31739,31143,31272,0,0,0
2831.72,0,-4003,113,908,-16,-69,437,-31742,31138,31274,0,0,0
2831.73,0,-4080,113,1084,141,-431,158,-31744,31136,31274,0,0,0
