Program Time [s],Connection ID,Time High,Time Low,Low-g Accelerometer X,Low-g Accelerometer Y,Low-g Accelerometer Z,Roll,Pitch,Yaw,Magnetometer X,Magnetometer Y,Magnetometer Z,High-g Accelerometer X,High-g Accelerometer Y,High-g Accelerometer Z
3655.69,0,57,20286,239,-542,-3997,73,-37,15,32161,28686,32763,-4,-2,0
3655.72,0,57,20302,238,-545,-3995,59,-39,8,32163,28685,32760,-2,-5,0
3655.72,0,57,20317,246,-538,-4002,61,-35,-4,32161,28687,32764,-5,-4,0
3655.75,0,57,20332,249,-538,-3990,36,-42,11,32163,28686,32761,-5,-5,0
3655.75,0,57,20347,238,-545,-3986,34,-54,-2,32161,28688,32761,-2,-7,0
3655.78,0,57,20363,244,-546,-4005,41,-37,-3,32160,28686,32757,-4,-5,0
3655.78,0,57,20378,244,-544,-4002,45,-25,7,32163,28686,32761,-6,-3,0
3655.81,0,57,20393,245,-545,-3983,39,-30,-3,32161,28687,32761,-3,-8,0
3655.81,0,57,20408,239,-541,-3995,9,-50,3,32161,28691,32764,-2,-2,0
3655.84,0,57,20423,241,-542,-4007,39,-36,7,32162,28685,32758,-1,-5,0
3655.84,0,57,20439,242,-545,-3990,32,-34,4,32161,28688,32763,-1,-6,0
3655.87,0,57,20453,246,-542,-3999,31,-43,11,32161,28686,32761,-5,-5,0
3655.87,0,57,20469,242,-542,-3996,46,-38,-2,32160,28690,32761,-3,-4,0
3655.9,0,57,20484,244,-542,-3980,34,-42,-2,32163,28687,32762,-4,-5,0
3655.9,0,57,20499,245,-538,-4000,26,-52,-9,32162,28688,32761,-2,-6,0
3655.93,0,57,20514,238,-546,-4005,38,-34,-2,32161,28687,32761,-2,-3,0
3655.94,0,57,20530,246,-542,-3997,34,-15,4,32162,28684,32763,-2,-5,0
3655.96,0,57,20545,244,-545,-4000,28,-33,-10,32162,28686,32762,-5,-5,0
3655.96,0,57,20560,240,-541,-3978,24,-35,9,32162,28689,32761,-1,-5,0
3655.99,0,57,20575,242,-542,-4001,43,-38,11,32163,28687,32763,-5,-5,0
3656,0,57,20590,242,-548,-4001,18,-43,12,32162,28687,32761,-3,-1,0
3656.02,0,57,20606,241,-541,-3990,25,-33,0,32161,28685,32763,-1,-2,0
3656.03,0,57,20620,244,-542,-4000,55,-64,0,32161,28690,32764,-5,-5,0
3656.05,0,57,20636,245,-544,-4009,34,-44,11,32161,28688,32763,-3,-7,0
3656.06,0,57,20651,248,-542,-3986,37,-31,-3,32163,28686,32764,-1,-2,0
3656.08,0,57,20666,240,-542,-3992,31,-48,15,32162,28685,32762,-3,-9,0
3656.11,0,57,20682,240,-540,-3999,33,-36,17,32161,28687,32762,-4,-7,0
3656.11,0,57,20697,247,-540,-3990,37,-61,1,32161,28684,32761,-1,-7,0
3656.12,0,57,20712,235,-544,-4005,40,-34,5,32161,28685,32762,1,0,0
3656.14,0,57,20727,246,-549,-3992,27,-31,5,32161,28688,32762,-5,-1,0
3656.15,0,57,20742,243,-537,-3992,38,-56,5,32163,28688,32764,-3,-6,0
3656.17,0,57,20757,244,-541,-4000,34,-32,-4,32161,28687,32763,-5,-6,0
3656.18,0,57,20773,239,-545,-3987,33,-57,0,32161,28686,32761,-3,-7,0
3656.2,0,57,20787,247,-547,-4012,48,-41,12,32160,28688,32763,-5,-3,0
3656.21,0,57,20803,243,-538,-3987,43,-21,7,32162,28687,32761,-7,-1,0
